Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX
actuators,2,1,2,1,0.04,0.4771,0.01,0.3010,Noun,2,1.00,Noun,2
acuity,14,14,14,14,0.27,1.1761,0.17,1.1761,Noun,14,1.00,Noun,14
acumen,7,5,7,5,0.14,0.9031,0.06,0.7782,Noun,7,1.00,Noun,7
acupressure,6,6,5,5,0.12,0.8451,0.07,0.8451,Noun,4,0.67,Noun.Verb,4.2
acupuncture,37,28,32,25,0.73,1.5798,0.33,1.4624,Noun,37,1.00,Noun,37
acupuncturist,9,7,9,7,0.18,1.0000,0.08,0.9031,Noun,9,1.00,Noun,9
acupuncturists,2,1,2,1,0.04,0.4771,0.01,0.3010,Noun,2,1.00,Noun,2
acute,150,131,131,117,2.94,2.1790,1.56,2.1206,Adjective,150,1.00,Adjective,150
acutely,14,14,13,13,0.27,1.1761,0.17,1.1761,Adverb,14,1.00,Adverb,14
acuteness,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
acyclovir,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
ad,694,432,630,391,13.61,2.8420,5.15,2.6365,Noun,609,0.89,Noun.Adverb.Adjective,609.68.6
adage,32,26,32,26,0.63,1.5185,0.31,1.4314,Noun,29,0.91,Noun.Verb,29.3
adages,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
adagio,12,10,5,5,0.24,1.1139,0.12,1.0414,Noun,6,0.55,Noun.Name,6.5
adam,1890,342,4,2,37.06,3.2767,4.08,2.5353,Name,1879,1.00,Name.Noun,1879.4
adamant,50,41,45,40,0.98,1.7076,0.49,1.6232,Adjective,50,1.00,Adjective,50
adamantine,1,1,1,1,0.02,0.3010,0.01,0.3010,Adjective,1,1.00,Adjective,1
adamantly,2,2,2,2,0.04,0.4771,0.02,0.4771,Adverb,2,1.00,Adverb,2
adamas,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
adams,470,168,1,1,9.22,2.6730,2.00,2.2279,Name,468,1.00,Name.Noun,468.1
adance,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
adapt,134,101,124,97,2.63,2.1303,1.20,2.0086,Verb,134,1.00,Verb,134
adaptability,7,7,6,6,0.14,0.9031,0.08,0.9031,Noun,7,1.00,Noun,7
adaptable,17,16,17,16,0.33,1.2553,0.19,1.2304,Adjective,17,1.00,Adjective,17
adaptation,81,70,34,27,1.59,1.9138,0.83,1.8513,Noun,81,1.00,Noun,81
adaptations,3,3,3,3,0.06,0.6021,0.04,0.6021,Noun,3,1.00,Noun,3
adapted,56,52,51,47,1.10,1.7559,0.62,1.7243,Verb,54,0.96,Verb.Adjective,54.2
adapter,11,7,11,7,0.22,1.0792,0.08,0.9031,Noun,11,1.00,Noun,11
adapting,27,25,27,25,0.53,1.4472,0.30,1.4150,Verb,27,1.00,Verb,27
adaption,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
adaptive,11,10,9,9,0.22,1.0792,0.12,1.0414,Adjective,11,1.00,Adjective,11
adaptor,4,4,4,4,0.08,0.6990,0.05,0.6990,Noun,4,1.00,Noun,4
adaptors,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
adapts,3,3,3,3,0.06,0.6021,0.04,0.6021,Verb,3,1.00,Verb,3
adar,3,1,0,0,0.06,0.6021,0.01,0.3010,Name,3,1.00,Name,3
adc,7,5,0,0,0.14,0.9031,0.06,0.7782,Name,7,1.00,Name,7
add,1686,1329,1423,1173,33.06,3.2271,15.84,3.1239,Verb,1681,1.00,Verb.Noun,1681.1
